,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_artist_name,rtable_song,rtable_artists
52,52,0.333333333333,47977,165466,Looking For A Wall,Smash Mouth,Gun For A Mouth,david poe
53,53,0.333333333333,789417,10599,A Shine On Your Shoe,The Hi-Lo's,A Night On The Town,
54,54,0.333333333333,177899,311101,Hold On,The Chi-Lites,On The Run,therealjonsmith
55,55,0.333333333333,191725,629611,Starlight,Young Heart Attack,Heart Attack,official version
56,56,0.333333333333,796829,5344,Moving In The Right Direction,The Pasadenas,In The Mood,the syndakit
57,57,0.333333333333,12017,443880,Dick Tracy,The Skatalites,The Wedge,dick dale
58,58,0.333333333333,283633,170958,The Bridge,Sun Dial,Under the Sun,cheryl
59,59,0.333333333333,71660,259410,On The Radio,Manuel Tur,New Cannonball Blues,tv on the radio
60,60,0.333333333333,283633,551261,The Bridge,Sun Dial,The Sun is Shinig,
61,61,0.333333333333,213591,449534,In The Songs,Midtown,Fists in the Sky,
62,62,0.333333333333,692525,458164,Introduction,I Am The Pilot,I Am a Gay Caballero,the caballero
63,63,0.333333333333,512786,565645,The House On Vine Street,The Greencards,The Wheels On The Bus,
64,64,0.333333333333,171695,604189,Gangsta,De La Ghetto,La Scotish de Sarreguemines,
65,65,0.333333333333,863096,634665,New York City Live,JS16,Ride That Wave,new york city band
66,66,0.333333333333,692525,149664,Introduction,I Am The Pilot,I Am a Cider Drinker,the wurzels
67,67,0.333333333333,583657,73910,Celebration,Dora The Explorer,Dora the Explorer Theme,josh sitron+billy straus+sarah durkee
68,68,0.333333333333,179480,5344,The City In The Sea,The Ocean,In The Mood,the syndakit
69,69,0.333333333333,580689,566511,Raise the Barrel,The Pacific Ocean,Columbia  the Gem of the Ocean,
70,70,0.333333333333,113865,5344,Morning In The Moonlight,Saves The Day,In The Mood,the syndakit
71,71,0.333333333333,838965,5344,in the eye of the storm,Zia,In The Mood,the syndakit
72,72,0.333333333333,213591,341139,In The Songs,Midtown,Crawling in the Dark,
73,73,0.333333333333,911571,400190,Bad Religion,Motorhead,Ten in 2010,bad religion
74,74,0.333333333333,618624,670738,Whipping Boy,House of Freaks,House of Argyle,
75,75,0.333333333333,177899,670168,Hold On,The Chi-Lites,Get On,the dirtmitts
76,76,0.333333333333,786692,622378,Blackout,(Hed) Planet Earth,Planet Earth,wally lopez
77,77,0.333333333333,216977,110475,EveryGirl In The World,Young Money,Were in the Money,harry warren
78,78,0.333333333333,912547,104480,Preludes,A Shoreline Dream,Just A Dream,nena
79,79,0.333333333333,944515,558614,The Prophetic Method,Zyklon,Roboslut,the crystal method
80,80,0.333333333333,283302,5344,Eyeballs In The Sky,The Firesign Theatre,In The Mood,the syndakit
81,81,0.333333333333,625076,347758,Australia,Coloured Stone,Stone,
82,82,0.333333333333,855357,511101,From The Station,Soltero,Tears From the Moon,
83,83,0.333333333333,832135,5344,Dancing In The Light,The Rolling Stones,In The Mood,the syndakit
84,84,0.333333333333,352553,363600,Autorelocator,At The Drive-In,At The Restaurant,anastasia
85,85,0.333333333333,35714,5344,The Night Turns,Whispers In The Shadow,In The Mood,the syndakit
86,86,0.333333333333,121286,378378,Home,Ben's Brother,Brother,
87,87,0.333333333333,910065,567161,True To Myself,Ridin Thumb,Ridin My Thumb to Mexico,johnny rodriguez
88,88,0.333333333333,274494,136449,Till Morning Comes,We Were the States,We Were Aborted,the cribs
89,89,0.333333333333,676134,497675,Pushing Up Daisies,On Broken Wings,Broken Wings,
90,90,0.333333333333,764193,234008,Marianas Trench,August Burns Red, Stutter,marianas trench
91,91,0.333333333333,496712,131756,The Crash Of Angel Wings,The Waterboys,Enter the Dream,the angel
92,92,0.333333333333,369076,114455,Dumb,The Beautiful South,Hey Beautiful,the solids
93,93,0.333333333333,173993,25516,The Race Is On,George Jones,On The Beach,honey is cool
94,94,0.333333333333,150780,28688,The Blame,All Star United,The Star,aurea
95,95,0.333333333333,362401,357791,Read And Weep,I Against I,I and I Rasta,bad brains
96,96,0.333333333333,571477,649399,FATHER'S DAY,Big Dipper,Big Dipper,nicholas britell
97,97,0.333333333333,213591,294785,In The Songs,Midtown,Turkey in the Straw,
98,98,0.333333333333,692525,594942,Introduction,I Am The Pilot,I Am The Greatest,john lennon+ringo starr
99,99,0.333333333333,71660,173655,On The Radio,Manuel Tur,Wolf Like Me,tv on the radio
100,100,0.333333333333,924232,634665,New York City,The Products,Ride That Wave,new york city band
101,101,0.333333333333,198514,448360,Leatherwood,The Ozark Mountain Daredevils,The Mountain,devildriver
102,102,0.333333333333,71660,281754,On The Radio,Manuel Tur,New Cannonball Blues,tv on the radio
103,103,0.333333333333,107739,636232,Introduction,In Blood We Trust,We In,kadeve+t.o.b.i.a.s.
104,104,0.333333333333,43305,565645,The Road Goes On Forever,The Highwaymen,The Wheels On The Bus,
105,105,0.333333333333,570811,601461,Shovel,Aesop Rock,Rock,
106,106,0.333333333333,369076,114374,Dumb,The Beautiful South,Hey Beautiful,the solids
107,107,0.333333333333,644590,565645,The Power Is On,The Go! Team,The Wheels On The Bus,
108,108,0.333333333333,326083,107277,Sidewinder,Today Is The Day,The Day Is My Enemy,the prodigy
109,109,0.333333333333,801864,332541,Billy IV,Oh Susanna,Oh  Susanna,stephen foster
110,110,0.333333333333,42029,127176,Suicide King,Scarlet,Scarlet,
111,111,0.333333333333,890611,313694,It Began In The Wind,Echo Is Your Love,Is It In My Head?,the who
112,112,0.333333333333,456047,565645,Blame It On The Boogie,The Jacksons,The Wheels On The Bus,
113,113,0.333333333333,77243,107277,Temple of the Morning Star,Today Is The Day,The Day Is My Enemy,the prodigy
114,114,0.333333333333,16776,465837,New York,Tupac,Interlude,new york philharmonic+aaron copland
115,115,0.333333333333,213591,395538,In The Songs,Midtown,Turkey in the Straw,
116,116,0.333333333333,213591,152834,In The Songs,Midtown,In The Air Tonight,
117,117,0.333333333333,86436,566160,Backyard Joey,Avoid One Thing,One Small Thing,
118,118,0.333333333333,719557,207081,Moorestown,Sun Kil Moon,Brother Sun  Sister Moon,
119,119,0.333333333333,380011,284921,Pocket Change,The Wild Magnolias,Walkin the Wild,
120,120,0.333333333333,283302,92568,Eyeballs In The Sky,The Firesign Theatre,Home,explosions in the sky
121,121,0.333333333333,456610,453339,Night for love,You Dee,Anything For You,
122,122,0.333333333333,725279,204543,Fuck In A,Gang Green,Green Peas in a Pod,jessie farrell
123,123,0.333333333333,425869,26888,The Slightest Touch,Five Star,The Star,aurea
124,124,0.333333333333,582669,295278,The Passenger,Iggy Pop,Pop Goes the Weasel,
125,125,0.333333333333,117222,5344,LIVIN' IN THE LIFE,The Isley Brothers,In The Mood,the syndakit
126,126,0.333333333333,674615,713626,Lightbulbs,The Answering Machine,Machine Gun,the commodores
127,127,0.333333333333,812849,21112,Grand Divider,We Are The Fury,We Are the Champions,freddie mercury+queen
128,128,0.333333333333,114034,64009,The Great Escape,Whatever It Takes,Whatever It Takes,jody colero+stephen stohn+studz
129,129,0.333333333333,270253,208756,How The Dead Live,Monster Movie,Movie Monster,dead bundy+the neat neats
130,130,0.333333333333,312035,471357,A Little Groove,The Herbaliser,Help! Im a Fish,the little trees+creamy
131,131,0.333333333333,869429,5344,Stuck In The Middle,The Burning Hotels,In The Mood,the syndakit
132,132,0.333333333333,789528,475084,Dave To The Rescue,John Debney,Welcome To The Party,dave powell
133,133,0.333333333333,818966,367499,Shameless,Wasted Time,Time,
134,134,0.333333333333,479921,311101,On The Money,Floor,On The Run,therealjonsmith
135,135,0.333333333333,13175,236884,Cover,The Lilac Time,Feeding Time,the backyardigans
